time	energy	cost
0	0	0
5763	0.0166667	0
6428	0.0333333	0
6533	0.0388889	0
6922	0.0222222	0
6923	0.0388889	0
7595	0.0222222	0
7596	0.0388889	0
8095	0.0222222	0
8096	0.0388889	0
8353	0.0222222	0
8354	0.0388889	0
9310	0.0222222	0
9311	0.0388889	0
9732	0.0222222	0
9733	0.0388889	0
10093	0.0333333	0
10094	0.0388889	0
10543	0.0222222	0
10544	0.0388889	0
11042	0.0222222	0
11043	0.0388889	0
11746	0.0222222	0
11747	0.0388889	0
12229	0.0222222	0
12230	0.0388889	0
12941	0.0222222	0
12942	0.0388889	0
13428	0.0222222	0
13429	0.0388889	0
14121	0.0222222	0
14122	0.0388889	0
14431	0.0333333	0
14432	0.0388889	0
14708	0.0222222	0
14709	0.0388889	0
15409	0.0222222	0
15410	0.0388889	0
15993	0.0222222	0
15994	0.0388889	0
16598	0.0222222	0
16599	0.0388889	0
17214	0.0222222	0
17215	0.0388889	0
18020	0.0222222	0
18021	0.0388889	0
18377	0.0222222	0
18378	0.0388889	0
18432	0.0333333	0
18433	0.0388889	0
19189	0.0222222	0
19190	0.0388889	0
19796	0.0222222	0
19797	0.0388889	0
20382	0.0222222	0
20383	0.0388889	0
21003	0.0222222	0
21004	0.0388889	0
21550	0.0222222	0
21551	0.0388889	0
22048	0.0333333	0
22049	0.0388889	0
22249	0.0222222	0
22250	0.0388889	0
22968	0.0222222	0
22969	0.0388889	0
23546	0.0222222	0
23547	0.0388889	0
24168	0.0222222	0
24169	0.0388889	0
24769	0.0222222	0
24770	0.0388889	0
25392	0.0222222	0
25393	0.0388889	0
26119	0.0333333	0
26120	0.0388889	0
26251	0.0222222	0
26252	0.0388889	0
26615	0.0222222	0
26616	0.0388889	0
27429	0.0222222	0
27430	0.0388889	0
27986	0.0222222	0
27987	0.0388889	0
28615	0.0222222	0
28616	0.0388889	0
29222	0.0222222	0
29223	0.0388889	0
29657	0.0333333	0
29658	0.0388889	0
29983	0.0222222	0
29984	0.0388889	0
30580	0.0222222	0
30581	0.0388889	0
31452	0.0222222	0
31453	0.0388889	0
31737	0.0222222	0
31738	0.0388889	0
32605	0.0222222	0
32606	0.0388889	0
32915	0.0222222	0
32916	0.0388889	0
33143	0.0333333	0
33144	0.0388889	0
34025	0.0222222	0
34026	0.0388889	0
34309	0.0222222	0
34310	0.0388889	0
35245	0.0222222	0
35246	0.0388889	0
35871	0.0222222	0
35872	0.0388889	0
36436	0.0222222	0
36437	0.0388889	0
37100	0.0222222	0
37101	0.0333333	0
37102	0.0388889	0
37793	0.0222222	0
37794	0.0388889	0
38316	0.0222222	0
38317	0.0388889	0
38960	0.0222222	0
38961	0.0388889	0
39516	0.0222222	0
39517	0.0388889	0
40270	0.0222222	0
40271	0.0388889	0
40938	0.0222222	0
40939	0.0388889	0
41321	0.0333333	0
41322	0.0388889	0
41604	0.0222222	0
41605	0.0388889	0
42161	0.0222222	0
42162	0.0388889	0
42802	0.0222222	0
42803	0.0388889	0
43344	0.0222222	0
43345	0.0388889	0
44007	0.0222222	0
44008	0.0388889	0
44569	0.0222222	0
44570	0.0388889	0
44786	0.0333333	0
44787	0.0388889	0
45223	0.0222222	0
45224	0.0388889	0
45907	0.0222222	0
45908	0.0388889	0
46465	0.0222222	0
46466	0.0388889	0
47075	0.0222222	0
47076	0.0388889	0
47836	0.0222222	0
47837	0.0388889	0
48427	0.0222222	0
48428	0.0388889	0
48989	0.0222222	0
48990	0.0388889	0
49203	0.0333333	0
49204	0.0388889	0
49710	0.0222222	0
49711	0.0388889	0
50188	0.0222222	0
50189	0.0388889	0
50894	0.0222222	0
50895	0.0388889	0
51462	0.0222222	0
51463	0.0388889	0
52258	0.0222222	0
52259	0.0388889	0
52697	0.0222222	0
52698	0.0388889	0
52809	0.0333333	0
52810	0.0388889	0
53470	0.0222222	0
53471	0.0388889	0
53875	0.0222222	0
53876	0.0388889	0
54656	0.0222222	0
54657	0.0388889	0
55055	0.0222222	0
55056	0.0388889	0
55841	0.0222222	0
55842	0.0388889	0
56233	0.0222222	0
56234	0.0388889	0
56584	0.0333333	0
56585	0.0388889	0
57003	0.0222222	0
57004	0.0388889	0
57614	0.0222222	0
57615	0.0388889	0
58437	0.0222222	0
58438	0.0388889	0
58989	0.0222222	0
58990	0.0388889	0
59675	0.0222222	0
59676	0.0388889	0
60221	0.0222222	0
60222	0.0388889	0
60426	0.0333333	0
60427	0.0388889	0
60853	0.0222222	0
60854	0.0388889	0
61385	0.0222222	0
61386	0.0388889	0
62034	0.0222222	0
62035	0.0388889	0
62569	0.0222222	0
62570	0.0388889	0
63245	0.0222222	0
63246	0.0388889	0
63811	0.0222222	0
63812	0.0388889	0
64419	0.0222222	0
64420	0.0388889	0
64514	0.0333333	0
64515	0.0388889	0
65023	0.0222222	0
65024	0.0388889	0
65625	0.0222222	0
65626	0.0388889	0
66444	0.0222222	0
66445	0.0388889	0
67074	0.0222222	0
67075	0.0388889	0
67671	0.0222222	0
67672	0.0388889	0
68260	0.0222222	0
68261	0.0388889	0
68915	0.0222222	0
68916	0.0388889	0
68949	0.0333333	0
68950	0.0388889	0
69529	0.0222222	0
69530	0.0388889	0
70071	0.0222222	0
70072	0.0388889	0
70927	0.0222222	0
70928	0.0388889	0
71246	0.0222222	0
71247	0.0388889	0
72212	0.0222222	0
72213	0.0388889	0
72409	0.0222222	0
72410	0.0388889	0
72532	0.0333333	0
72533	0.0388889	0
73400	0.0222222	0
73401	0.0388889	0
73586	0.0222222	0
73587	0.0388889	0
74625	0.0222222	0
74626	0.0388889	0
74774	0.0222222	0
74775	0.0388889	0
75853	0.0222222	0
75854	0.0388889	0
75955	0.0222222	0
75956	0.0388889	0
76089	0.0333333	0
76090	0.0388889	0
77052	0.0222222	0
77053	0.0388889	0
77200	0.0222222	0
77234	0.0388889	0
78250	0.0222222	0
78251	0.0388889	0
78447	0.0222222	0
79246	0.0388889	0
79454	0.0222222	0
79660	0.0388889	0
80118	0.0333333	0
80119	0.0388889	0
80643	0.0222222	0
80817	0.00555556	0
80994	0.0222222	0
82262	0.00555556	0
82511	0.0222222	0
