taxiID	true total demand	total demand	difference	served demand	total distance	served distance	total time	served time	taxi revenue	taxi profit
462	28	28	0	16	309.381	180.994	24041	12616	456.372	456.372
463	39	39	0	11	320.838	102.011	34176	9570	278.375	278.375
464	89	89	0	29	624.51	155.618	54869	16519	560.107	560.107
465	44	44	0	20	330.982	90.8939	28626	9748	364.935	364.935
466	37	37	0	19	249.6	83.7631	24847	9862	359.419	359.419
467	34	34	0	19	252.002	186.119	24060	16147	503.4	503.4
468	54	54	0	31	334.192	196.181	39452	24222	650.768	650.768
469	56	56	0	27	406.082	114.976	43060	16226	476.23	476.23
470	31	31	0	19	397.575	250.351	27558	13247	589.174	589.174
471	58	58	0	12	299.64	110.791	34429	10007	299.19	299.19
472	25	25	0	17	379.623	218.848	24735	14774	515.873	515.873
473	34	34	0	7	369.048	142.615	27039	7520	291.348	291.348
474	29	29	0	16	320.418	104.736	38814	23886	335.945	335.945
475	56	56	0	44	349.261	189.1	41734	27469	785.305	785.305
476	27	27	0	13	270.115	55.3377	22357	8656	232.436	232.436
477	61	61	0	28	409.296	183.731	40448	17898	603.772	603.772
478	44	44	0	16	230.701	110.54	27475	12003	344.346	344.346
479	53	53	0	34	375.331	225.311	45362	28563	731.665	731.665
480	62	62	0	43	331.122	153.445	36966	22181	729.257	729.257
481	95	95	0	45	324.819	106.094	36793	13125	768.065	768.065
482	57	57	0	35	312.355	116.032	35885	18242	590.609	590.609
483	50	50	0	18	365.004	71.5932	39443	10688	314.162	314.162
484	31	31	0	19	429.461	189.591	33600	13682	508.97	508.97
485	34	34	0	8	384.119	84.6828	28797	6863	211.095	211.095
486	17	17	0	4	236.135	44.7848	15312	2728	111.631	111.631
487	60	60	0	32	312.859	170.134	38473	22078	628.711	628.711
488	48	48	0	22	357.019	236.36	32253	17311	599.101	599.101
489	46	46	0	11	275.62	46.6579	32949	7317	190.148	190.148
490	35	35	0	13	508.298	190.368	39795	11030	431.17	431.17
491	42	42	0	34	367.661	238.481	29519	21508	745.73	745.73
492	71	71	0	36	363.219	123.163	42903	18318	620.873	620.873
493	75	75	0	23	273.343	59.5318	39452	12967	359.341	359.341
494	60	60	0	22	328.469	103.988	40017	11675	413.018	413.018
495	59	59	0	17	374.156	103.745	39858	12235	350.329	350.329
496	70	70	0	37	314.45	188.834	42918	23978	715.3	715.3
497	49	49	0	27	311.216	160.997	28115	16147	558.047	558.047
498	36	36	0	19	401.588	191.385	34637	17995	493.472	493.472
499	48	48	0	11	260.774	68.2245	30378	9743	223.026	223.026
500	57	57	0	19	322.031	91.1592	33598	8546	378.15	378.15
501	61	61	0	22	269.035	93.9139	35670	13117	400.005	400.005
502	49	49	0	18	274.553	86.8459	31272	10931	342.492	342.492
503	36	36	0	11	367.496	104.578	29113	7707	280.135	280.135
504	55	55	0	16	335.492	80.972	39452	9806	309.677	309.677
505	52	52	0	29	329.646	186.019	42006	22008	607.041	607.041
506	28	28	0	10	282.611	118.908	24204	9273	290.844	290.844
507	39	39	0	25	285.03	158.123	25164	15248	530.131	530.131
508	80	80	0	13	374.564	109.2	48577	12211	306.805	306.805
509	40	40	0	24	407.224	164.655	35772	17903	523.285	523.285
510	62	62	0	21	316.366	51.0489	36186	7930	334.551	334.551
511	37	37	0	11	296.607	66.2381	27682	6351	230.334	230.334
512	46	46	0	25	298.839	131.132	34622	16909	491.035	491.035
513	55	55	0	24	307.802	134.116	37194	16281	466.28	466.28
514	46	46	0	9	342.714	87.1788	34851	9189	229.787	229.787
515	44	44	0	17	282.081	84.2665	30510	12497	318.217	318.217
516	36	36	0	12	412.026	141.366	34379	11209	342.709	342.709
517	27	27	0	7	336.76	97.3637	22392	5503	228.546	228.546
518	52	52	0	22	366.137	140.095	39427	16853	462.174	462.174
519	29	29	0	18	369.094	226.656	24726	15565	532.628	532.628
520	38	38	0	32	273.602	217.781	27782	23919	690.087	690.087
521	27	27	0	21	401.167	298.799	24025	18175	688.895	688.895
522	27	27	0	18	378.905	182.737	27884	15174	472.884	472.884
523	35	35	0	18	466.872	198.468	30827	14412	494.227	494.227
524	39	39	0	15	394.5	81.5718	34555	10320	303.992	303.992
525	64	64	0	14	384.063	99.499	46948	8004	307.827	307.827
526	81	81	0	43	369.875	150.365	45759	20200	755.376	755.376
527	45	45	0	11	259.084	99.3589	30438	7396	278.864	278.864
528	75	75	0	26	421.934	92.6082	48254	12371	439.464	439.464
529	20	20	0	15	337.76	226.022	30475	21579	503.405	503.405
530	49	49	0	25	444.462	172.963	37148	14453	547.988	547.988
531	37	37	0	22	338.433	116.161	26393	14162	424.287	424.287
532	48	48	0	44	367.645	340.299	35731	33382	1018.94	1018.94
533	46	46	0	16	294.595	99.8893	32956	11797	333.797	333.797
534	43	43	0	22	267.99	144.814	31916	16692	457.768	457.768
535	50	50	0	13	306.333	136.184	36041	13858	349.614	349.614
