0	0	
6840	1	
6923	0	
7133	1	
7431	2	
7596	1	
7954	2	
8074	3	
8096	2	
8202	3	
8240	4	
8354	3	
8498	4	
8617	5	
8765	6	
8850	7	
8970	8	
9027	9	
9234	10	
9247	11	
9311	10	
9355	11	
9381	12	
9733	11	
9757	12	
9758	13	
9917	14	
9924	15	
10094	14	
10103	15	
10160	16	
10303	17	
10544	16	
10669	17	
10819	18	
11043	17	
11098	18	
11474	19	
11505	20	
11527	21	
11570	22	
11639	23	
11747	22	
12020	23	
12230	22	
12562	23	
12564	24	
12565	25	
12751	26	
12756	27	
12942	26	
13063	27	
13243	28	
13429	27	
13444	28	
13845	29	
13861	30	
13960	31	
14122	30	
14205	31	
14432	30	
14709	29	
15376	30	
15410	29	
15704	30	
15994	29	
16599	28	
17215	27	
17386	28	
18021	27	
18378	26	
18403	27	
18433	26	
19190	25	
19519	26	
19797	25	
20062	26	
20383	25	
20616	26	
21004	25	
21289	26	
21381	27	
21462	28	
21551	27	
21698	28	
22049	27	
22250	26	
22969	25	
23015	26	
23089	27	
23547	26	
23553	27	
23960	28	
24169	27	
24565	28	
24673	29	
24770	28	
24827	29	
25393	28	
25747	29	
26120	28	
26252	27	
26566	28	
26616	27	
26825	28	
26919	29	
27046	30	
27082	31	
27430	30	
27836	31	
27987	30	
28616	29	
29223	28	
29445	29	
29658	28	
29719	29	
29948	30	
29984	29	
30145	30	
30581	29	
31453	28	
31727	29	
31738	28	
32606	27	
32845	28	
32850	29	
32916	28	
33144	27	
33176	28	
33585	29	
33634	30	
33742	31	
34026	30	
34146	31	
34310	30	
34890	31	
35246	30	
35872	29	
36062	30	
36272	31	
36437	30	
37101	29	
37102	28	
37183	29	
37197	30	
37794	29	
37872	30	
38317	29	
38852	30	
38961	29	
39419	30	
39517	29	
39740	30	
40271	29	
40939	28	
41322	27	
41605	26	
42162	25	
42362	26	
42484	27	
42803	26	
42893	27	
42952	28	
43099	29	
43345	28	
43742	29	
44008	28	
44483	29	
44570	28	
44787	27	
45204	28	
45224	27	
45908	26	
46466	25	
46688	26	
47076	25	
47291	26	
47313	27	
47837	26	
48428	25	
48990	24	
49204	23	
49711	22	
50064	23	
50189	22	
50275	23	
50695	24	
50895	23	
51391	24	
51463	23	
52259	22	
52601	23	
52698	22	
52810	21	
53411	22	
53471	21	
53478	22	
53810	23	
53876	22	
54657	21	
55009	22	
55056	21	
55842	20	
56234	19	
56585	18	
57004	17	
57234	18	
57377	19	
57615	18	
57809	19	
58438	18	
58990	17	
59676	16	
60222	15	
60427	14	
60672	15	
60673	16	
60854	15	
61386	14	
62035	13	
62217	14	
62570	13	
63246	12	
63381	13	
63812	12	
63927	13	
64420	12	
64450	13	
64457	14	
64515	13	
65024	12	
65567	13	
65626	12	
65839	13	
66445	12	
67075	11	
67672	10	
67855	11	
68261	10	
68318	11	
68916	10	
68950	9	
69251	10	
69530	9	
69733	10	
70072	9	
70217	10	
70928	9	
71247	8	
71448	9	
72213	8	
72410	7	
72460	8	
72533	7	
73401	6	
73587	5	
74095	6	
74626	5	
74775	4	
75854	3	
75956	2	
76090	1	
77053	0	
78015	1	
78251	0	
79934	1	
80119	0	
83474	1	
83710	0	
