time	energy	cost
0	0	0
5982	0.0166667	0
6739	0.0333333	0
7169	0.0166667	0
7202	0.0333333	0
7960	0.0166667	0
8256	0.0333333	0
8512	0.0166667	0
8560	0.0333333	0
8983	0.05	0
9293	0.0666667	0
9465	0.05	0
9643	0.0666667	0
9723	0.05	0
9906	0.0666667	0
10020	0.0833333	0
10178	0.0666667	0
10363	0.0833333	0
10516	0.0666667	0
10833	0.05	0
10864	0.0333333	0
10952	0.05	0
10987	0.0666667	0
11038	0.0833333	0
11206	0.0666667	0
11540	0.05	0
11600	0.0666667	0
11671	0.0833333	0
11713	0.1	0
11944	0.0833333	0
12180	0.0666667	0
12220	0.05	0
12420	0.0666667	0
12856	0.0833333	0
12860	0.0666667	0
12881	0.05	0
12899	0.0333333	0
13227	0.05	0
13394	0.0666667	0
13550	0.0833333	0
13588	0.1	0
13684	0.0833333	0
14055	0.0666667	0
14156	0.0833333	0
14174	0.1	0
14430	0.0833333	0
14565	0.0666667	0
14707	0.0833333	0
14716	0.0666667	0
14720	0.0833333	0
14764	0.0666667	0
15054	0.0833333	0
15087	0.1	0
15308	0.105556	0
15348	0.0888889	0
15365	0.0722222	0
15467	0.0888889	0
15591	0.105556	0
15821	0.111111	0
15898	0.0944444	0
15902	0.0777778	0
16049	0.0944444	0
16242	0.0777778	0
16440	0.0611111	0
16598	0.0777778	0
16713	0.0611111	0
16717	0.0777778	0
16762	0.0611111	0
17011	0.0777778	0
17048	0.0944444	0
17227	0.0777778	0
17567	0.0944444	0
17631	0.111111	0
17679	0.116667	0
17762	0.1	0
17880	0.0833333	0
18214	0.0666667	0
18276	0.05	0
18754	0.0333333	0
18801	0.0166667	0
18811	0.0111111	0
18824	0.0277778	0
19022	0.0444444	0
19345	0.0611111	0
19377	0.0777778	0
19380	0.0722222	0
19599	0.0888889	0
19959	0.105556	0
20005	0.0888889	0
20196	0.0722222	0
20253	0.0888889	0
20554	0.0722222	0
20603	0.0555556	0
20759	0.0388889	0
20952	0.0555556	0
21132	0.0388889	0
21239	0.0333333	0
21559	0.05	0
21599	0.0333333	0
21826	0.05	0
21849	0.0666667	0
21883	0.0833333	0
22121	0.0666667	0
22546	0.0833333	0
22720	0.0666667	0
22830	0.0833333	0
22873	0.1	0
23035	0.0833333	0
23038	0.0666667	0
23051	0.05	0
23650	0.0333333	0
23879	0.05	0
23943	0.0333333	0
24040	0.0166667	0
24245	0.0333333	0
24310	0.05	0
24935	0.0666667	0
24980	0.0833333	0
25110	0.0666667	0
25198	0.0833333	0
25413	0.0666667	0
25472	0.05	0
25798	0.0666667	0
25909	0.0833333	0
26165	0.0666667	0
26214	0.05	0
26377	0.0333333	0
26456	0.05	0
26891	0.0666667	0
27003	0.05	0
27073	0.0333333	0
27417	0.05	0
27597	0.0666667	0
27636	0.05	0
28097	0.0333333	0
28220	0.05	0
28560	0.0666667	0
28582	0.05	0
28673	0.0666667	0
28786	0.05	0
28922	0.0666667	0
29225	0.0833333	0
29388	0.0666667	0
29778	0.0833333	0
29788	0.0666667	0
29831	0.05	0
30096	0.0333333	0
30249	0.05	0
30384	0.0333333	0
31021	0.0166667	0
31048	0.0333333	0
31066	0.05	0
31124	0.0666667	0
31415	0.05	0
32244	0.0333333	0
32249	0.0166667	0
32365	6.93889e-18	0
32907	0.0166667	0
34211	6.93889e-18	0
36495	0.0166667	0
37149	0.0333333	0
37181	0.05	0
37661	0.0333333	0
37842	0.05	0
38102	0.0666667	0
38156	0.0833333	0
38386	0.0666667	0
38392	0.05	0
38729	0.0666667	0
39048	0.05	0
39220	0.0666667	0
39227	0.0833333	0
39335	0.0666667	0
39361	0.05	0
39486	0.0666667	0
39918	0.05	0
40400	0.0333333	0
40432	0.05	0
40500	0.0333333	0
40582	0.05	0
40710	0.0333333	0
41667	0.0166667	0
41670	0.0333333	0
41801	0.0166667	0
42818	0.0333333	0
42865	0.0166667	0
44059	6.93889e-18	0
44265	0.0166667	0
44772	0.0333333	0
44883	0.05	0
45115	0.0666667	0
45455	0.05	0
45737	0.0666667	0
45940	0.05	0
46061	0.0333333	0
46378	0.0166667	0
46937	6.93889e-18	0
47080	0.0166667	0
47098	0.0333333	0
48260	0.0166667	0
48287	6.93889e-18	0
48458	0.0166667	0
48718	0.0333333	0
49651	0.05	0
49720	0.0333333	0
49898	0.0166667	0
50842	6.93889e-18	0
51468	0.0166667	0
52652	6.93889e-18	0
53666	0.0166667	0
54877	6.93889e-18	0
55226	0.0166667	0
56392	6.93889e-18	0
56438	0.0166667	0
57610	6.93889e-18	0
57825	0.0166667	0
59001	6.93889e-18	0
60119	0.0166667	0
61288	6.93889e-18	0
61496	0.0166667	0
62039	0.0333333	0
62364	0.05	0
62394	0.0666667	0
62692	0.05	0
63200	0.0333333	0
63612	0.0166667	0
63712	6.93889e-18	0
65749	0.0166667	0
66147	0.0333333	0
66917	0.0166667	0
67330	6.93889e-18	0
68208	0.0166667	0
68941	0.0333333	0
69376	0.0166667	0
69810	0.0333333	0
69821	0.05	0
70117	0.0333333	0
70589	0.05	0
70617	0.0666667	0
70970	0.05	0
71026	0.0333333	0
71628	0.05	0
71773	0.0333333	0
71810	0.0166667	0
72921	6.93889e-18	0
75338	0.0166667	0
75936	0.0333333	0
76468	0.05	0
76522	0.0333333	0
77126	0.0166667	0
77440	0.0333333	0
77754	0.0166667	0
78723	6.93889e-18	0
79317	0.0166667	0
79636	0.0333333	0
80442	0.05	0
80626	0.0333333	0
80860	0.0166667	0
81411	0.0333333	0
81748	0.0166667	0
81770	0.0333333	0
82100	0.05	0
82487	0.0666667	0
82741	0.05	0
82818	0.0666667	0
82986	0.05	0
83267	0.0333333	0
83334	0.05	0
83455	0.0666667	0
83665	0.05	0
84006	0.0333333	0
84524	0.0166667	0
84759	6.93889e-18	0
86745	0.0166667	0
87111	6.93889e-18	0
90217	0.0166667	0
91355	0.0333333	0
91403	0.0166667	0
92396	6.93889e-18	0
