time	energy	cost
0	0	0
4881	0.0333333	0
5371	0	0
5480	0.0333333	0
5600	0.05	0
6106	0.0166667	0
6107	0.05	0
6243	0.0333333	0
6244	0.05	0
6725	0.0166667	0
6726	0.05	0
7372	0.0166667	0
7373	0.05	0
7417	0.0333333	0
7418	0.05	0
7630	0.0166667	0
7631	0.05	0
8205	0.0166667	0
8206	0.05	0
8621	0.0333333	0
8622	0.05	0
8690	0.0166667	0
8691	0.05	0
9249	0.0166667	0
9250	0.05	0
9837	0.0333333	0
9838	0.05	0
9874	0.0166667	0
9875	0.05	0
10456	0.0166667	0
10457	0.05	0
11032	0.0333333	0
11033	0.05	0
11105	0.0166667	0
11106	0.05	0
11682	0.0166667	0
11683	0.05	0
12216	0.0333333	0
12217	0.05	0
12272	0.0166667	0
12273	0.05	0
13008	0.0166667	0
13009	0.05	0
13446	0.0333333	0
13447	0.05	0
13595	0.0166667	0
13596	0.05	0
14232	0.0166667	0
14233	0.05	0
14688	0.0333333	0
14689	0.05	0
14828	0.0166667	0
14829	0.05	0
15385	0.0166667	0
15386	0.05	0
15937	0.0333333	0
15938	0.05	0
15995	0.0166667	0
15996	0.05	0
16599	0.0166667	0
16600	0.05	0
17108	0.0333333	0
17109	0.05	0
17167	0.0166667	0
17168	0.05	0
17780	0.0166667	0
17781	0.05	0
18221	0.0333333	0
18222	0.05	0
18426	0.0166667	0
18427	0.05	0
19051	0.0166667	0
19052	0.05	0
19479	0.0333333	0
19480	0.05	0
19589	0.0166667	0
19590	0.05	0
20183	0.0166667	0
20184	0.05	0
20707	0.0333333	0
20708	0.05	0
20777	0.0166667	0
20778	0.05	0
21389	0.0166667	0
21390	0.05	0
21876	0.0333333	0
21877	0.05	0
21989	0.0166667	0
21990	0.05	0
22584	0.0166667	0
22585	0.05	0
23129	0.0333333	0
23130	0.05	0
23184	0.0166667	0
23185	0.05	0
23790	0.0166667	0
23791	0.05	0
24211	0.0166667	0
24212	0.05	0
24354	0.0333333	0
24355	0.05	0
24832	0.0166667	0
24833	0.05	0
25403	0.0166667	0
25404	0.05	0
25538	0.0333333	0
25539	0.05	0
25990	0.0166667	0
25991	0.05	0
26596	0.0166667	0
26597	0.05	0
26729	0.0333333	0
26730	0.05	0
27179	0.0166667	0
27180	0.05	0
27717	0.0166667	0
27718	0.05	0
28006	0.0333333	0
28007	0.05	0
28308	0.0166667	0
28309	0.05	0
28900	0.0166667	0
28901	0.05	0
29177	0.0333333	0
29178	0.05	0
29509	0.0166667	0
29510	0.05	0
30048	0.0166667	0
30049	0.05	0
30357	0.0333333	0
30358	0.05	0
30641	0.0166667	0
30642	0.05	0
31168	0.0166667	0
31169	0.05	0
31523	0.0333333	0
31524	0.05	0
31784	0.0166667	0
31785	0.05	0
32369	0.0166667	0
32370	0.05	0
32693	0.0333333	0
32694	0.05	0
32982	0.0166667	0
32983	0.05	0
33578	0.0166667	0
33579	0.05	0
33921	0.0166667	0
33922	0.05	0
33985	0.0333333	0
33986	0.05	0
34517	0.0166667	0
34518	0.05	0
35109	0.0166667	0
35110	0.05	0
35148	0.0333333	0
35149	0.05	0
35704	0.0166667	0
35705	0.05	0
36290	0.0166667	0
36291	0.05	0
36309	0.0333333	0
36310	0.05	0
36879	0.0166667	0
36880	0.05	0
37471	0.0333333	0
37472	0.05	0
37510	0.0166667	0
37511	0.05	0
38100	0.0166667	0
38101	0.05	0
38623	0.0333333	0
38624	0.05	0
38723	0.0166667	0
38724	0.05	0
39344	0.0166667	0
39345	0.05	0
39758	0.0333333	0
39759	0.05	0
39931	0.0166667	0
39932	0.05	0
40524	0.0166667	0
40525	0.05	0
40960	0.0333333	0
40961	0.05	0
41165	0.0166667	0
41166	0.05	0
41774	0.0166667	0
41775	0.05	0
42139	0.0333333	0
42140	0.05	0
42401	0.0166667	0
42402	0.05	0
43044	0.0166667	0
43045	0.05	0
43312	0.0333333	0
43313	0.05	0
43669	0.0166667	0
43670	0.05	0
44210	0.0166667	0
44211	0.05	0
44244	0.0333333	0
44245	0.05	0
44799	0.0166667	0
44800	0.05	0
45455	0.0333333	0
45456	0.05	0
45466	0.0166667	0
45467	0.05	0
46058	0.0166667	0
46059	0.05	0
46662	0.0166667	0
46663	0.05	0
46750	0.0333333	0
46751	0.05	0
47252	0.0166667	0
47253	0.05	0
47812	0.0166667	0
47813	0.05	0
47916	0.0333333	0
47917	0.05	0
48222	0.0166667	0
48223	0.05	0
48814	0.0166667	0
48815	0.05	0
49315	0.0333333	0
49316	0.05	0
49426	0.0166667	0
49427	0.05	0
50110	0.0166667	0
50111	0.05	0
50498	0.0333333	0
50499	0.05	0
50730	0.0166667	0
50731	0.05	0
51344	0.0166667	0
51345	0.05	0
